maroon,#800000,128,0,0,"Elegance and prestige in formal settings.,Richness and sophistication in luxury.,Power and authority in academia."
dark red,#8B0000,139,0,0,"Intensity and urgency in alerts.,Drama and impact in art.,Passion and expression in design."
brown,#A52A2A,165,42,42,"Earthiness and warmth in décor.,Timelessness and versatility in fashion.,Natural elements and comfort."
firebrick,#B22222,178,34,34,"Strength and resilience in branding.,Warmth and energy in urban landscapes.,Vibrancy and impact in design."
crimson,#DC143C,220,20,60,"Energy and vitality in celebrations.,Love and desire in romance.,Festivity and excitement in occasions."
red,#FF0000,255,0,0,"Danger and dynamism in visuals.,Courage and strength in symbols.,Warmth and urgency in warnings."
tomato,#FF6347,255,99,71,"Vibrancy and freshness in food.,Pop of color and energy in products.,Excitement and liveliness in visuals."
coral,#FF7F50,255,127,80,"Warmth and femininity in fashion.,Vitality and creativity in design.,Serenity and relaxation in wellness."
indian red,#CD5C5C,205,92,92,"Cultural heritage and tradition.,Warmth and hospitality in décor.,Connection to nature and earthiness."
light coral,#F08080,240,128,128,"Softness and elegance in design.,Warmth and sophistication in interiors.,Subtlety and delicacy in palette."
dark salmon,#E9967A,233,150,122,"Muted sophistication in formal wear.,Warmth and subtlety in décor.,Timeless elegance in design."
salmon,#FA8072,250,128,114,"Freshness and modernity in fashion.,Warmth and vibrancy in interiors.,Playfulness and energy in visuals."
light salmon,#FFA07A,255,160,122,"Softness and tranquility in design.,Warmth and comfort in décor.,Elegance and charm in palettes."
orange red,#FF4500,255,69,0,"Boldness and visibility in safety.,Warmth and excitement in visuals.,Impact and urgency in alerts."
dark orange,#FF8C00,255,140,0,"Richness and depth in autumnal palettes.,Warmth and coziness in interiors.,Timelessness and versatility in design."
orange,#FFA500,255,165,0,"Cheerfulness and vibrancy in branding.,Warmth and energy in visuals.,Playfulness and creativity in design."
gold,#FFD700,255,215,0,"Opulence and luxury in décor.,Prestige and elegance in fashion.,Warmth and richness in accents."
dark golden rod,#B8860B,184,134,11,"Richness and depth in interiors.,Warmth and earthiness in palettes.,Timelessness and sophistication in design."
golden rod,#DAA520,218,165,32,"Brightness and energy in visuals.,Warmth and vibrancy in palettes.,Playfulness and versatility in design."
pale golden rod,#EEE8AA,238,232,170,"Softness and subtlety in décor.,Warmth and lightness in palettes.,Elegance and sophistication in design."
dark khaki,#BDB76B,189,183,107,"Subtlety and versatility in fashion.,Earthiness and warmth in palettes.,Timelessness and reliability in design."
